#curie_map:
#  nf: http://nf-osi.github.com/terms#
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#mapping_set_id: https://w3id.org/synapse/nfosi/mapping/observationtype
#license: https://creativecommons.org/licenses/by/4.0/
subject_id	subject_label	predicate_id	object_id	mapping_justification	mpRelevant	notes	needsContentReclassification
	Pain behavior	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Maps to MP:0001976 (abnormal nociception)	false
	Pain response	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Pain response phenotype	false
	Parental Effects	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Parental effects on phenotype	false
	Patient demographics	skos:exactMatch	nf:UsageObservation	semapv:ManualMappingCuration	false	Patient demographic information	false
	Patient information	skos:exactMatch	nf:UsageObservation	semapv:ManualMappingCuration	false	Patient information	false
	Penetrance	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Phenotype penetrance	false
	Pharmacological response	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Pharmacological response	false
	Pharmacology	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Pharmacology experiments	false
	Phenotype	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	General phenotype	false
	Phenotype severity	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Phenotype severity	false
	Phenotypic variability	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Phenotypic variability	false
	Phosphorylation	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Phosphorylation status	false
	Physiology	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Physiological phenotype	false
	Pigmentation	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Maps to MP:0001186 (pigmentation phenotype)	false
	Pigmentation defect	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Pigmentation defect	false
	Pigmentation defects	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Pigmentation defects	false
	Pigmentation phenotype	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Pigmentation phenotype	false
	Pluripotency	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Pluripotency characterization	false
	Preclinical studies	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Preclinical study results	false
	Proliferation	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Proliferation assay	false
	Protein Expression	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Protein expression data	false
	Protein expression	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Protein expression data	false
	Protein structure	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Protein structure	false
	Proteomics	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Proteomic characterization	false
	Quality control	skos:exactMatch	nf:MethodObservation	semapv:ManualMappingCuration	false	Quality control data	false
	Radiation sensitivity	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Radiation sensitivity assay	false
	Receptor expression	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Receptor expression	false
	Reflex Development	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Maps to MP:0001961 (abnormal reflex)	false
	Reproductive Behavior	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Reproductive behavior phenotype	false
	Reproductive ability	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Reproductive ability phenotype	false
	Reproductive behavior	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Maps to MP:0002127 (abnormal reproductive system physiology)	false
	Reproductive fitness	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Reproductive fitness phenotype	false
	Reproductive phenotype	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Reproductive phenotype	false
	Research application	skos:exactMatch	nf:UsageObservation	semapv:ManualMappingCuration	false	Research application information	false
	Research applications	skos:exactMatch	nf:UsageObservation	semapv:ManualMappingCuration	false	Research applications	false
	Rescue experiment	skos:exactMatch	nf:MethodObservation	semapv:ManualMappingCuration	false	Rescue experiment	false
	Resource availability	skos:exactMatch	nf:UsageObservation	semapv:ManualMappingCuration	false	Resource availability information	false
	Resource development	skos:exactMatch	nf:UsageObservation	semapv:ManualMappingCuration	false	Resource development	false
	Resource utility	skos:exactMatch	nf:UsageObservation	semapv:ManualMappingCuration	false	Resource utility information	false
	Retinal ganglion cells	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Maps to MP:0001325 (retina phenotype)	false
	Secreted factors	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Secreted factor characterization	false
	Secretion	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Secretion characterization	false
	Sensory function	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Maps to MP:0005391 (vision/eye phenotype)	false
	Signaling	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Signaling characterization	false
	Signaling Pathways	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Signaling pathway characterization	false
	Signaling pathway	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Signaling pathway characterization	false
	Signaling pathways	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Signaling pathway characterization	false
	Skin abnormalities	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Maps to MP:0010678 (abnormal skin morphology)	false
	Skin phenotype	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Skin phenotype	false
	Sleep	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Maps to MP:0001402 (abnormal locomotor behavior)	false
	Spheroid formation	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Spheroid formation assay	false
	Stem cell markers	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Stem cell marker expression	false
	Stemness	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Stemness characterization	false
	Study design	skos:exactMatch	nf:MethodObservation	semapv:ManualMappingCuration	false	Study design information	false
	Subline derivation	skos:exactMatch	nf:DerivationObservation	semapv:ManualMappingCuration	false	Subline derivation	false
	Survival	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Maps to MP:0010768 (mortality/aging)	false
	Synaptic plasticity	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Maps to MP:0002207 (abnormal long term potentiation)	false
	Synaptic transmission	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Maps to MP:0002272 (abnormal synaptic transmission)	false
	Tactile sensitivity	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Maps to MP:0001976 (abnormal nociception)	false
	Thermal sensitivity	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Maps to MP:0001985 (abnormal thermal nociception)	false
	Therapeutic response	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Therapeutic response experiments	false
	Tissue origin	skos:exactMatch	nf:DerivationObservation	semapv:ManualMappingCuration	false	Tissue of origin	false
	Transcriptional regulation	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Transcriptional regulation	false
	Transcriptomics	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Transcriptomic characterization	false
	Treatment history	skos:exactMatch	nf:UsageObservation	semapv:ManualMappingCuration	false	Treatment history information	false
	Tumor Biology	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Tumor biology phenotype	false
	Tumor Growth	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Maps to MP:0002082 (abnormal tumor growth/development)	false
	Tumor Incidence	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Maps to MP:0002020 (increased tumor incidence)	false
	Tumor Multiplicity	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Multiple tumor phenotype	false
	Tumor Progression	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Tumor progression phenotype	false
	Tumor antigens	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Tumor antigen characterization	false
	Tumor biology	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Tumor biology phenotype	false
	Tumor burden	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Tumor burden phenotype	false
	Tumor development	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Tumor development phenotype	false
	Tumor formation	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Tumor formation phenotype	false
	Tumor grade	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Tumor grading	false
	Tumor growth	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Maps to MP:0002082 (abnormal tumor growth/development)	false
	Tumor histology	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Tumor histology phenotype	false
	Tumor incidence	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Maps to MP:0002020 (increased tumor incidence)	false
	Tumor initiation	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Tumor initiation experiments	false
	Tumor localization	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Tumor location phenotype	false
	Tumor location	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Tumor location phenotype	false
	Tumor multiplicity	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Multiple tumor phenotype	false
	Tumor pathology	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Tumor pathology	false
	Tumor phenotype	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Tumor phenotype	false
	Tumor progression	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Tumor progression phenotype	false
	Tumor suppressor	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Tumor suppressor characterization	false
	Tumor susceptibility	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Maps to MP:0002020 or related	false
	Tumor type	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Tumor type classification	false
	Tumorigenesis	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Tumorigenesis phenotype	false
	Tumorigenicity	skos:exactMatch	nf:PhenotypeObservation	semapv:ManualMappingCuration	true	Tumorigenicity phenotype	false
	Ultrastructure	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Ultrastructure characterization	false
	Usage	skos:exactMatch	nf:UsageObservation	semapv:ManualMappingCuration	false	Usage information	false
	Usage Instructions	skos:exactMatch	nf:UsageObservation	semapv:ManualMappingCuration	false	Usage instructions	false
	Variant	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Variant characterization	false
	Viability	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Viability assay	false
	Viral infection	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Viral infection experiment	false
	Xenograft	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	Xenograft experiment	false
	miRNA expression	skos:exactMatch	nf:AssayObservation	semapv:ManualMappingCuration	false	miRNA expression data	false
